CAMPUS;CURSO
Belém;107 - Letras - Inglês - Licenciatura (Extensivo/Matutino/Entrada 2)
Belém;108 - Letras - Inglês - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;109 - *Letras - Língua Portuguesa - Licenciatura (Extensivo/Matutino/Entrada 1)
Belém;110 - *Letras - Língua Portuguesa - Licenciatura (Extensivo/Matutino/Entrada 2)
Belém;111 - *Letras - Língua Portuguesa - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;112 - *Letras - Língua Portuguesa - Licenciatura (Extensivo/Noturno/Entrada 2)
Belém;113 - Licenciatura Integrada em Ciências Matemática e Linguagens - Licenciatura (Extensivo/Vespertino/Entrada 1)
Belém;114 - Licenciatura Integrada em Ciências Matemática e Linguagens - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;115 - Matemática - Licenciatura (Extensivo/Matutino/Entrada 1)
Belém;116 - Matemática - Licenciatura (Extensivo/Vespertino/Entrada 2)
Belém;117 - *Medicina - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;118 - *Medicina - Bacharelado (Extensivo/Integral/Entrada 2)
Belém;119 - Meteorologia - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;120 - Museologia - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;121 - Música - Licenciatura (Extensivo/Vespertino/Entrada 1)
Belém;122 - *Nutrição - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;123 - *Nutrição - Bacharelado (Extensivo/Integral/Entrada 2)
Belém;124 - Oceanografia - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;125 - *Odontologia - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;126 - *Odontologia - Bacharelado (Extensivo/Matutino/Entrada 2)
Belém;127 - *Odontologia - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;128 - *Odontologia - Bacharelado (Extensivo/Vespertino/Entrada 2)
Belém;129 - *Pedagogia - Licenciatura (Extensivo/Matutino/Entrada 1)
Belém;130 - *Pedagogia - Licenciatura (Extensivo/Matutino/Entrada 2)
Belém;131 - *Pedagogia - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;132 - *Pedagogia - Licenciatura (Extensivo/Noturno/Entrada 2)
Belém;133 - Produção Multimídia - Tecnológico (Extensivo/Noturno/Entrada 1)
Belém;134 - Produção Cênica - Tecnológico (Extensivo/Noturno/Entrada 1)
Belém;135 - Psicologia - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;136 - Psicologia - Bacharelado (Extensivo/Vespertino/Entrada 1)
