Ano;Codigo da Area;Area de Avaliacao;Grau Academico;Codigo da IES;Nome da IES*;Sigla da IES*;Organizacao Academica;Categoria Administrativa;Codigo do Curso;Modalidade de Ensino;Codigo do Municipio**;Municipio do Curso**;Sigla da UF** ;NUMERO de Concluintes Inscritos;NUMERO  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Continuo);Conceito Enade (Faixa);Observacao
2021;2501;ARTES VISUAIS ;Licenciatura;482;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;Universidade;Privada sem fins lucrativos;119216;Educacao Presencial;4204608;Criciuma;SC;17;14;"34,428";"2,095";"59,171";"3,603";"3,226";4;
2021;2501;ARTES VISUAIS ;Licenciatura;496;UNIVERSIDADE DE FRANCA;UNIFRAN;Universidade;Privada com fins lucrativos;1323001;Educacao a Distancia;3516200;Franca;SP;148;94;"30,827";"1,565";"43,209";"1,595";"1,588";2;
2021;2501;ARTES VISUAIS ;Licenciatura;547;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;Universidade;Publica Estadual;111889;Educacao Presencial;3304557;Rio de Janeiro;RJ;76;52;"37,363";"2,527";"62,29";"3,995";"3,628";4;
2021;2501;ARTES VISUAIS ;Licenciatura;548;UNIVERSIDADE FEDERAL DO MARANHAO;UFMA;Universidade;Publica Federal;11462;Educacao Presencial;2111300;Sao Luis;MA;49;42;"36,823";"2,448";"52,097";"2,713";"2,647";3;
2021;2501;ARTES VISUAIS ;Licenciatura;548;UNIVERSIDADE FEDERAL DO MARANHAO;UFMA;Universidade;Publica Federal;1153642;Educacao a Distancia;2111300;Sao Luis;MA;16;15;"28,213";"1,181";"47,44";"2,127";"1,891";2;
2021;2501;ARTES VISUAIS ;Licenciatura;569;UNIVERSIDADE FEDERAL DO PARA;UFPA;Universidade;Publica Federal;114907;Educacao Presencial;1501402;Belem;PA;38;0;;;;;;;Curso para o qual estatisticamente nao foi possivel calcular o indicador
2021;2501;ARTES VISUAIS ;Licenciatura;570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;Universidade;Publica Federal;95667;Educacao Presencial;2408102;Natal;RN;46;40;"47,54";"4,025";"60,392";"3,757";"3,824";4;
2021;2501;ARTES VISUAIS ;Licenciatura;571;UNIVERSIDADE FEDERAL DO PARANA;UFPR;Universidade;Publica Federal;116522;Educacao Presencial;4106902;Curitiba;PR;15;10;"41,79";"3,179";"57,41";"3,381";"3,331";4;
2021;2501;ARTES VISUAIS ;Licenciatura;573;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;Universidade;Publica Federal;52472;Educacao Presencial;3205309;Vitoria;ES;73;48;"41,689";"3,164";"60,25";"3,739";"3,595";4;
2021;2501;ARTES VISUAIS ;Licenciatura;573;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;Universidade;Publica Federal;116892;Educacao a Distancia;3205309;Vitoria;ES;1;0;;;;;;SC;
2021;2501;ARTES VISUAIS ;Licenciatura;573;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;Universidade;Publica Federal;1112914;Educacao Presencial;3205309;Vitoria;ES;33;24;"42,854";"3,335";"55,65";"3,16";"3,204";4;
2021;2501;ARTES VISUAIS ;Licenciatura;575;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;Universidade;Publica Federal;12943;Educacao Presencial;3106200;Belo Horizonte;MG;37;30;"45,636";"3,745";"65,28";"4,371";"4,215";5;
2021;2501;ARTES VISUAIS ;Licenciatura;576;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;Universidade;Publica Federal;1153951;Educacao Presencial;3136702;Juiz de Fora;MG;30;17;"42,982";"3,354";"62,064";"3,967";"3,814";4;
2021;2501;ARTES VISUAIS ;Licenciatura;578;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;Universidade;Publica Federal;13312;Educacao Presencial;2927408;Salvador;BA;5;4;"45,5";"3,725";"60,525";"3,773";"3,761";4;
2021;2501;ARTES VISUAIS ;Licenciatura;579;UNIVERSIDADE FEDERAL DA PARAIBA;UFPB;Universidade;Publica Federal;107438;Educacao Presencial;2507507;Joao Pessoa;PB;13;10;"47,83";"4,068";"56,87";"3,313";"3,502";4;
2021;2501;ARTES VISUAIS ;Licenciatura;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;Universidade;Publica Federal;23910;Educacao Presencial;2611606;Recife;PE;40;38;"38,607";"2,71";"54,71";"3,042";"2,959";4;
2021;2501;ARTES VISUAIS ;Licenciatura;581;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;Universidade;Publica Federal;116768;Educacao Presencial;4314902;Porto Alegre;RS;43;35;"52,417";"4,743";"66,42";"4,515";"4,572";5;
2021;2501;ARTES VISUAIS ;Licenciatura;582;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;Universidade;Publica Federal;84840;Educacao Presencial;4316907;Santa Maria;RS;16;12;"35,55";"2,26";"54,975";"3,075";"2,871";3;
2021;2501;ARTES VISUAIS ;Licenciatura;584;UNIVERSIDADE FEDERAL DE GOIAS;UFG;Universidade;Publica Federal;21990;Educacao Presencial;5208707;Goiania;GO;20;17;"36,311";"2,373";"62,723";"4,05";"3,63";4;
2021;2501;ARTES VISUAIS ;Licenciatura;584;UNIVERSIDADE FEDERAL DE GOIAS;UFG;Universidade;Publica Federal;1147017;Educacao a Distancia;5208707;Goiania;GO;31;22;"34,268";"2,072";"50,436";"2,504";"2,396";3;
2021;2501;ARTES VISUAIS ;Licenciatura;587;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;Universidade;Publica Federal;1151733;Educacao a Distancia;2611606;Recife;PE;24;21;"32,185";"1,765";"42,861";"1,551";"1,605";2;
2021;2501;ARTES VISUAIS ;Licenciatura;600;"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO";IFMA;"Instituto Federal de Educacao, Ciencia e Tecnologia";Publica Federal;1103310;Educacao Presencial;2111300;Sao Luis;MA;11;10;"32,63";"1,831";"42,54";"1,511";"1,591";2;
2021;2501;ARTES VISUAIS ;Licenciatura;610;CENTRO UNIVERSITARIO MAURICIO DE NASSAU DO RIO DE JANEIRO;UNINASSAU;Centro Universitario;Privada com fins lucrativos;14768;Educacao Presencial;3304557;Rio de Janeiro;RJ;16;12;"38,816";"2,741";"55,916";"3,194";"3,08";4;
2021;2501;ARTES VISUAIS ;Licenciatura;634;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;Universidade;Publica Federal;31978;Educacao Presencial;4314407;Pelotas;RS;44;41;"34,821";"2,153";"51,507";"2,639";"2,517";3;
2021;2501;ARTES VISUAIS ;Licenciatura;665;UNIVERSIDADE DE TAUBATE;UNITAU;Universidade;Publica Municipal;1152588;Educacao a Distancia;3554102;Taubate;SP;21;15;"38,106";"2,637";"48,973";"2,32";"2,399";3;
2021;2501;ARTES VISUAIS ;Licenciatura;665;UNIVERSIDADE DE TAUBATE;UNITAU;Universidade;Publica Municipal;1321343;Educacao a Distancia;3554102;Taubate;SP;12;8;"41,35";"3,114";"68,05";"4,72";"4,318";5;
2021;2501;ARTES VISUAIS ;Licenciatura;671;UNIVERSIDADE ANHANGUERA;UNIDERP;Universidade;Privada com fins lucrativos;1404178;Educacao a Distancia;5002704;Campo Grande;MS;12;10;"29,07";"1,307";"37,9";"0,927";"1,022";2;
2021;2501;ARTES VISUAIS ;Licenciatura;694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Universidade;Publica Federal;36348;Educacao Presencial;5002704;Campo Grande;MS;18;17;"45,37";"3,706";"60,782";"3,806";"3,781";4;
2021;2501;ARTES VISUAIS ;Licenciatura;699;FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA;UNIR;Universidade;Publica Federal;123567;Educacao Presencial;1100205;Porto Velho;RO;9;8;"20,687";"0,073";"42,887";"1,555";"1,184";2;
2021;2501;ARTES VISUAIS ;Licenciatura;719;Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT;UNEMAT;Universidade;Publica Estadual;1404229;Educacao a Distancia;5102504;Caceres;MT;21;18;"34,927";"2,169";"43,066";"1,577";"1,725";2;
2021;2501;ARTES VISUAIS ;Licenciatura;730;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;Universidade;Publica Estadual;63886;Educacao Presencial;4119905;Ponta Grossa;PR;27;18;"41,505";"3,137";"59,688";"3,668";"3,535";4;
